#	OVR	PLAYER	PTS	AVG	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	STATUS	BYE	SALARY	YEAR(S)
1	1	Rodgers, Aaron GBP QB	429.4	28.63	31.3	15	14.5	43.3	32.9	54.3	39.8	19.4	31.5	B	21.7	10.9	23.2	13.7	34.2	43.7	Free Agent	10	$0.60 	1
2	2	Brady, Tom NEP QB	402.8	26.85	26.8	16.2	23.9	38.6	26	23	23	39	B	21.8	34.2	40.7	13.7	37.1	22.8	16	Canavan - Trade	9	$19.00 	1
3	3	Griffin III, Robert WAS QB	395.9	28.28	34.7	38.2	31.8	30	5.5	43.4	32.6	10.6	16.7	B	49.8	41.1	22.5	19.8		19.2	Plummer - Trade	10	$4.20 	3
4	4	Ryan, Matt ATL QB	395.9	26.39	43.8	26.6	32.6	30.6	24.3	10.8	B	35.9	18.2	35.3	-2	22.3	11.4	27.2	35.2	43.7	Free Agent	7	$0.60 	1
5	5	Brees, Drew NOS QB	394.7	26.31	18.2	21	23.2	38.4	38.2	B	41.1	14.8	23.4	28.8	30.4	24.4	-3.4	14.4	40.6	41.2	Free Agent	6	$0.60 	1
6	6	Manning, Peyton DEN QB	392.5	26.17	29	8.6	20	38.8	34.8	33.8	B	34.8	30	20.2	25.6	20.5	29.2	20.4	14.2	32.6	Free Agent	7	$0.60 	1
7	7	Peterson, Adrian MIN RB	392.1	26.14	26.1	14.2	19.2	22.4	17.2	21.8	30	20.7	39.7	35.5	B	19.4	35.2	39.2	34.5	17	Plummer - Trade (P)	11	$17.00 	2
8	8	Newton, Cam CAR QB	372.4	24.83	16.6	32.2	6.9	39.6	4.3	B	18.2	9.7	26.5	16.5	22.3	47.9	36.7	46.3	22.4	26.3	Ryan - Trade (P)	6	$3.50 	3
9	9	Foster, Arian HOU RB	362.6	24.17	25.6	32.8	24.8	22.2	32.6	20.5	28.6	B	25.4	29	18.1	33.7	17.6	21.5	26.8	3.4	Just Win Baby - Trade	8	$16.60 	1
10	10	Martin, Doug TBB RB	349.3	23.29	21.1	17.6	13.7	7.3	B	19.2	24.9	44.2	60.2	18.7	22.9	25	16.9	28.8	7.3	21.5	Suburban Thugs	5	$4.60 	1
11	11	Romo, Tony DAL QB	345.6	23.04	34.5	12.4	5.7	8.6	B	22.8	20.8	16.6	22.8	23.8	21.8	32.7	38.3	12.8	31.2	40.8	Free Agent (P)	5	$0.60 	1
12	12	Lynch, Marshawn SEA RB	334.6	22.31	16.9	24.9	17.4	31.5	16.1	10.2	18.4	20.5	30.2	26.5	B	11	19.6	35	23.2	33.2	Just Win Baby - Trade (P)	11	$11.60 	2
13	13	Rice, Ray BAL RB	334.4	22.29	27.3	24.4	30.5	19.7	18.2	28.8	10.7	B	23.9	18.4	18.8	27.8	18.7	27.1	9	31.1	O'Keefe - Trade	8	$19.00 	1
14	14	Wilson, Russell SEA QB	327.1	21.81	8.2	19.6	18	2.7	15	29.6	-1.4	24	32.4	22.8	B	30.9	35.8	9.8	44.4	35.3	Just Win Baby - Trade	11	$2.60 	4
15	15	Johnson, Calvin DET WR	310.2	20.68	17.1	15.4	30.9	9.4	B	19	6.4	7.6	19.4	33.7	21.3	27.5	32.6	20.3	20.1	29.5	Plummer - Trade	5	$13.60 	2
16	16	Richardson, Trent CLE RB	303.6	20.24	9.2	32.8	19	22.7	26.2	10.2	5	27.2	23.6	B	25.5	26	23	21.7	19.9	11.6	Don - Trade	10	$5.00 	1
17	17	Marshall, Brandon CHI WR	300.1	20.01	24.9	3.4	11.1	26.3	28.9	B	19.6	18.3	35.7	16.2	9.1	18.2	24.5	31	16.1	16.8	Just Win Baby - Trade	6	$11.60 	2
18	18	Dalton, Andy CIN QB	298.9	19.93	4.8	34.5	32.8	28.2	13.3	25.5	4.6	B	18.1	35.2	30.2	25.7	17.8	11.6	12.2	4.4	Suburban Thugs	8	$1.75 	3
19	19	Charles, Jamaal KCC RB	297.5	19.83	13.9	5.4	49.4	23.5	27.8	9.1	B	3.5	12	22.1	21.2	17.8	23.7	28.6	6.6	32.9	Free Agent	7	$0.60 	1
20	20	Morris, Alfred WAS RB	295.8	19.72	28.7	13.1	19.7	24.5	21.1	16.3	17.9	11	12.2	B	14.3	23.6	17.8	22.7	28.7	24.2	davyhouse - Trade	10	$14.80 	2
21	21	Bears, Chicago CHI Def	294	19.6	24	13	26	32	33	B	23	17	29	13	2	20	7	10	12	33	Jim's Team - Trade	6	$2.00 	1
22	22	Stafford, Matthew DET QB	283.2	18.88	15.2	13.9	28.9	20.2	B	17.7	17	42.1	14	32.7	3.8	25.6	21	17.9	-5.2	18.4	Free Agent	5	$0.60 	1
23	23	Spiller, C.J. BUF RB	280.9	18.73	28.2	36	14.1	4.4	4.3	22.9	18.6	B	16.4	20.4	21.4	16	19.2	8.6	23.7	26.7	Ryan - Trade	8	$3.20 	1
24	24	Gore, Frank SFO RB	279	18.6	22.5	23.4	9.6	20.7	22.4	10.2	28.4	12.3	B	26.7	13.7	22.9	17.4	19.4	24.9	4.5	Jim's Team - Trade	9	$6.00 	2
25	25	Schaub, Matt HOU QB	276.4	18.43	18.8	13.2	31.6	23.6	8.4	3.6	23.2	B	25.6	2.6	55	16.2	22	6	20.8	5.8	Free Agent	8	$0.60 	1
26	26	Flacco, Joe BAL QB	273.5	18.23	27.8	6	36	24.4	3.7	17.7	3.1	B	15.6	36.1	7.4	20.4	3.2	25.5	12.4	34.2	Free Agent	8	$0.60 	1
27	27	Green, A.J. CIN WR	273	18.2	11.5	16.8	33.1	22.7	19	31	7.3	B	22.7	18.5	20.1	17.1	14.5	7.4	15.7	15.6	Holmes Family Jules - Trade	8	$5.00 	1
