#	ovr	player	pts	avg	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	status	bye	salary	years	position	team	year
1	1	Rodgers, Aaron	429.4	28.63	31.3	15.0	14.5	43.3	32.9	54.3	39.8	19.4	31.5	B	21.7	10.9	23.2	13.7	34.2	43.7	Free Agent	10	0.6	1.0	QB	GBP	2012
2	2	Brady, Tom	402.8	26.85	26.8	16.2	23.9	38.6	26	23	23	39	B	21.8	34.2	40.7	13.7	37.1	22.8	16.0	Canavan - Trade	9	19.0	1.0	QB	NEP	2012
3	3	Griffin III, Robert	395.9	28.28	34.7	38.2	31.8	30	5.5	43.4	32.6	10.6	16.7	B	49.8	41.1	22.5	19.8		19.2	Plummer - Trade	10	4.2	3.0	QB	WAS	2012
4	4	Ryan, Matt	395.9	26.39	43.8	26.6	32.6	30.6	24.3	10.8	B	35.9	18.2	35.3	-2	22.3	11.4	27.2	35.2	43.7	Free Agent	7	0.6	1.0	QB	ATL	2012
5	5	Brees, Drew	394.7	26.31	18.2	21.0	23.2	38.4	38.2	B	41.1	14.8	23.4	28.8	30.4	24.4	-3.4	14.4	40.6	41.2	Free Agent	6	0.6	1.0	QB	NOS	2012
6	6	Manning, Peyton	392.5	26.17	29.0	8.6	20.0	38.8	34.8	33.8	B	34.8	30	20.2	25.6	20.5	29.2	20.4	14.2	32.6	Free Agent	7	0.6	1.0	QB	DEN	2012
7	7	Peterson, Adrian	392.1	26.14	26.1	14.2	19.2	22.4	17.2	21.8	30	20.7	39.7	35.5	B	19.4	35.2	39.2	34.5	17.0	Plummer - Trade (P)	11	17.0	2.0	RB	MIN	2012
8	8	Newton, Cam	372.4	24.83	16.6	32.2	6.9	39.6	4.3	B	18.2	9.7	26.5	16.5	22.3	47.9	36.7	46.3	22.4	26.3	Ryan - Trade (P)	6	3.5	3.0	QB	CAR	2012
9	9	Foster, Arian	362.6	24.17	25.6	32.8	24.8	22.2	32.6	20.5	28.6	B	25.4	29	18.1	33.7	17.6	21.5	26.8	3.4	Just Win Baby - Trade	8	16.6	1.0	RB	HOU	2012
10	10	Martin, Doug	349.3	23.29	21.1	17.6	13.7	7.3	B	19.2	24.9	44.2	60.2	18.7	22.9	25.0	16.9	28.8	7.3	21.5	Suburban Thugs	5	4.6	1.0	RB	TBB	2012
11	11	Romo, Tony	345.6	23.04	34.5	12.4	5.7	8.6	B	22.8	20.8	16.6	22.8	23.8	21.8	32.7	38.3	12.8	31.2	40.8	Free Agent (P)	5	0.6	1.0	QB	DAL	2012
12	12	Lynch, Marshawn	334.6	22.31	16.9	24.9	17.4	31.5	16.1	10.2	18.4	20.5	30.2	26.5	B	11.0	19.6	35.0	23.2	33.2	Just Win Baby - Trade (P)	11	11.6	2.0	RB	SEA	2012
13	13	Rice, Ray	334.4	22.29	27.3	24.4	30.5	19.7	18.2	28.8	10.7	B	23.9	18.4	18.8	27.8	18.7	27.1	9.0	31.1	O'Keefe - Trade	8	19.0	1.0	RB	BAL	2012
14	14	Wilson, Russell	327.1	21.81	8.2	19.6	18.0	2.7	15	29.6	-1.4	24	32.4	22.8	B	30.9	35.8	9.8	44.4	35.3	Just Win Baby - Trade	11	2.6	4.0	QB	SEA	2012
15	15	Johnson, Calvin	310.2	20.68	17.1	15.4	30.9	9.4	B	19	6.4	7.6	19.4	33.7	21.3	27.5	32.6	20.3	20.1	29.5	Plummer - Trade	5	13.6	2.0	WR	DET	2012
16	16	Richardson, Trent	303.6	20.24	9.2	32.8	19.0	22.7	26.2	10.2	5	27.2	23.6	B	25.5	26.0	23.0	21.7	19.9	11.6	Don - Trade	10	5.0	1.0	RB	CLE	2012
17	17	Marshall, Brandon	300.1	20.01	24.9	3.4	11.1	26.3	28.9	B	19.6	18.3	35.7	16.2	9.1	18.2	24.5	31.0	16.1	16.8	Just Win Baby - Trade	6	11.6	2.0	WR	CHI	2012
18	18	Dalton, Andy	298.9	19.93	4.8	34.5	32.8	28.2	13.3	25.5	4.6	B	18.1	35.2	30.2	25.7	17.8	11.6	12.2	4.4	Suburban Thugs	8	1.75	3.0	QB	CIN	2012
19	19	Charles, Jamaal	297.5	19.83	13.9	5.4	49.4	23.5	27.8	9.1	B	3.5	12	22.1	21.2	17.8	23.7	28.6	6.6	32.9	Free Agent	7	0.6	1.0	RB	KCC	2012
20	20	Morris, Alfred	295.8	19.72	28.7	13.1	19.7	24.5	21.1	16.3	17.9	11	12.2	B	14.3	23.6	17.8	22.7	28.7	24.2	davyhouse - Trade	10	14.8	2.0	RB	WAS	2012
21	21	Bears, Chicago	294.0	19.6	24.0	13.0	26.0	32	33	B	23	17	29	13	2	20.0	7.0	10.0	12.0	33.0	Jim's Team - Trade	6	2.0	1.0	Def	CHI	2012
22	22	Stafford, Matthew	283.2	18.88	15.2	13.9	28.9	20.2	B	17.7	17	42.1	14	32.7	3.8	25.6	21.0	17.9	-5.2	18.4	Free Agent	5	0.6	1.0	QB	DET	2012
23	23	Spiller, C.J.	280.9	18.73	28.2	36.0	14.1	4.4	4.3	22.9	18.6	B	16.4	20.4	21.4	16.0	19.2	8.6	23.7	26.7	Ryan - Trade	8	3.2	1.0	RB	BUF	2012
24	24	Gore, Frank	279.0	18.6	22.5	23.4	9.6	20.7	22.4	10.2	28.4	12.3	B	26.7	13.7	22.9	17.4	19.4	24.9	4.5	Jim's Team - Trade	9	6.0	2.0	RB	SFO	2012
25	25	Schaub, Matt	276.4	18.43	18.8	13.2	31.6	23.6	8.4	3.6	23.2	B	25.6	2.6	55	16.2	22.0	6.0	20.8	5.8	Free Agent	8	0.6	1.0	QB	HOU	2012
26	26	Flacco, Joe	273.5	18.23	27.8	6.0	36.0	24.4	3.7	17.7	3.1	B	15.6	36.1	7.4	20.4	3.2	25.5	12.4	34.2	Free Agent	8	0.6	1.0	QB	BAL	2012
27	27	Green, A.J.	273.0	18.2	11.5	16.8	33.1	22.7	19	31	7.3	B	22.7	18.5	20.1	17.1	14.5	7.4	15.7	15.6	Holmes Family Jules - Trade	8	5.0	1.0	WR	CIN	2012
28	28	Ridley, Stevan	268.5	17.9	31.4	18.1	7.3	31	27.7	7.6	11.4	24.2	B	23.2	11.9	21.9	18.9	18.3	1.1	14.5	O'Keefe - Trade	9	1.25	1.0	RB	NEP	2012
29	29	Luck, Andrew	263.7	17.58	4.0	26.1	23.6	B	32	-2	16.8	23	31.1	20.4	10.8	14.6	27.1	5.1	17.6	13.5	O'Keefe - Trade	4	4.8	3.0	QB	IND	2012
30	30	Bryant, Dez	263.1	17.54	12.0	3.7	10.7	19	B	30	3.4	12.5	2.5	16.7	28.5	28.8	26.3	13.2	14.9	40.9	Free Agent	5	0.6	1.0	WR	DAL	2012
31	31	Roethlisberger, Ben	261.7	21.81	18.1	28.4	46.8	B	16	19.5	18	32	18.4	9.5				25.3	23.0	6.7	Free Agent	4	0.6	1.0	QB	PIT	2012
32	32	Palmer, Carson	260.6	17.37	24.2	14.1	27.7	6.6	B	17.2	19.3	14.6	36.8	22.8	17.3	4.4	25.6	18.0	9.6	2.4	Free Agent	5	0.6	1.0	QB	OAK	2012
33	33	Freeman, Josh	258.6	17.24	17.2	13.8	1.4	16.6	B	28.5	35.6	26.4	23	23.5	26.4	11.2	14.8	15.2	-5.0	10.0	Free Agent	5	0.6	1.0	QB	TBB	2012
34	34	Johnson, Andre	254.2	16.95	25.4	4.1	14.7	8.1	2.5	14	16.1	B	19.3	7	44.8	27.8	9.6	15.0	30.1	15.7	Free Agent	8	0.6	1.0	WR	HOU	2012
35	35	Bradford, Sam	253.1	16.87	16.4	34.5	-0.2	4.2	10	27.9	13.8	16.1	B	25.8	10.3	15.5	18.1	11.4	35.3	14.0	Free Agent (P)	9	0.6	1.0	QB	STL	2012
36	36	Johnson, Chris	249.5	16.63	11.3	5.9	7.7	25.7	4.4	18.7	37.4	20.4	21.3	26.5	B	18.6	9.2	12.2	22.4	7.8	Free Agent (P)	11	0.6	1.0	RB	TEN	2012
37	37	White, Roddy	248.4	16.56	14.2	23.2	10.0	35.4	10.8	17.7	B	6.8	18.8	16.9	18.8	9.2	3.0	26.2	3.6	33.8	Free Agent	7	0.6	1.0	WR	ATL	2012
38	38	Bush, Reggie	248.2	16.55	20.3	40.4	9.7	11.6	19	12	B	7.8	16.6	1.2	8	19.0	10.9	18.6	16.6	36.5	Free Agent	7	0.6	1.0	RB	MIA	2012
39	39	Forte, Matt	247.9	17.71	24.7	12.9		8.8	21.1	B	17.4	22.4	26.2	8.6	14.9	5.9	22.8	20.0	22.3	19.9	Holmes Family Jules - Trade	6	10.2	2.0	RB	CHI	2012
40	40	Rivers, Philip	244.5	16.3	19.6	32.1	-0.4	22	21.8	4	B	3.6	24.2	33.1	13.2	16.4	5.8	23.3	8.0	17.8	Free Agent	7	0.6	1.0	QB	SDC	2012
41	41	Jackson, Steven	244.2	16.28	16.6	9.1	7.6	11.8	13.7	15.4	15.6	8.4	B	27.5	13.7	21.2	20.9	19.1	24.2	19.4	Free Agent	9	0.6	1.0	RB	STL	2012
42	42	Fitzpatrick, Ryan	243.9	16.26	16.8	22.8	26.4	26.6	2.9	5.9	29.7	B	10.9	24.7	10	9.2	21.5	19.1	5.2	12.2	Free Agent	8	0.6	1.0	QB	BUF	2012
43	43	Jackson, Vincent	242.9	16.19	8.7	23.3	3.9	20.5	B	21.6	34.1	6	15.9	9.9	22.4	14.1	8.5	24.6	13.1	16.3	Free Agent	5	0.6	1.0	WR	TBB	2012
44	44	Green-Ellis, BenJarvus	242.7	16.18	22.6	18.2	11.2	14.6	3.9	12.2	13	B	16.5	11.3	23.8	26.1	24.2	16.1	24.1	4.9	Free Agent	8	0.6	1.0	RB	CIN	2012
45	45	Thomas, Demaryius	242.7	16.18	20.5	19.3	2.4	11.8	22	10.7	B	25.7	12.7	20.5	12.7	17.7	27.4	13.3	3.3	22.7	Free Agent	7	0.6	1.0	WR	DEN	2012
46	46	Wayne, Reggie	242.2	16.15	21.5	16.6	15.8	B	38.7	10.2	11.3	15.6	19.8	16.6	12.7	16.7	8.1	17.1	2.9	18.6	Just Win Baby - Trade (P)	4	2.4	1.0	WR	IND	2012
47	47	Jones, Julio	240.1	16.01	27.8	4.2	16.7	4	22.7	9.8	B	23.9	18.9	11	5.3	25.7	8.8	17.1	25.9	18.3	Canavan - Trade (P)	7	5.25	1.0	WR	ATL	2012
48	48	Greene, Shonn	239.6	15.97	22.3	5.0	9.7	6.1	8.1	43.5	22.5	15.6	B	10.8	12	9.8	17.2	19.7	12.0	25.3	Free Agent (P)	9	0.6	1.0	RB	NYJ	2012
49	49	Welker, Wes	239.6	15.97	3.4	14.5	20.7	16.9	26.9	26.8	11.6	8.3	B	12.4	14	18.1	24.3	8.2	10.1	23.4	Jim's Team - Trade	9	7.6	1.0	WR	NEP	2012
50	50	Manning, Eli	234.2	15.61	16.2	30.4	24.3	20	28.4	12.4	16.7	2.7	-2.4	1.3	B	27.9	18.1	29.6	-1.6	10.2	Free Agent (P)	11	0.6	1.0	QB	NYG	2012
51	51	Cardinals, Arizona	229.0	15.27	16.0	13.0	28.0	19	9	13	15	6	4	B	24	10.0	23.0	4.0	33.0	12.0	Free Agent	10	0.6	1.0	Def	ARI	2012
52	52	Seahawks, Seattle	229.0	15.27	11.0	17.0	14.0	9	19	9	11	5	14	22	B	6.0	5.0	49.0	23.0	15.0	Suburban Thugs	11	3.2	1.0	Def	SEA	2012
53	53	Broncos, Denver	228.0	15.2	18.0	2.0	10.0	11	7	39	B	10	10	28	21	12.0	12.0	13.0	20.0	15.0	davyhouse - Trade	7	1.4	1.0	Def	DEN	2012
54	54	Patriots, New England	226.0	15.07	20.0	11.0	3.0	21	14	10	14	16	B	12	27	34.0	11.0	11.0	7.0	15.0	Canavan - Trade	9	2.0	1.0	Def	NEP	2012
55	55	Cobb, Randall	223.7	14.91	20.7	6.5	3.2	12.1	17.2	15.7	28.5	11.8	22.2	B	21.7	8.8	11.4	15.2	14.0	14.7	Canavan - Trade	10	10.6	2.0	WR	GBP	2012
56	56	Texans, Houston	223.0	14.87	24.0	14.0	8.0	31	16	4	25	B	14	20	5	6.0	31.0	4.0	15.0	6.0	Free Agent	8	0.6	1.0	Def	HOU	2012
57	57	Decker, Eric	221.8	14.79	8.9	8.3	20.1	18.4	10.6	20.3	B	18.8	27.4	3	9.3	9.9	3.7	14.3	25.8	23.0	Suburban Thugs	7	5.2	1.0	WR	DEN	2012
58	58	Chargers, San Diego	221.0	14.73	14.0	10.0	6.0	30	6	18	B	10	31	5	18	10.0	20.0	16.0	5.0	22.0	Free Agent	7	0.6	1.0	Def	SDC	2012
59	59	McCoy, LeSean	220.7	20.06	22.6	19.4	12.9	23.6	22.2	18.1	B	25.4	20.6	16.9	15.2					23.8	Jim's Team - Trade	7	16.8	1.0	RB	PHI	2012
60	60	Cruz, Victor	219.5	14.63	10.3	32.4	8.7	23.9	26	16.3	24.6	3.8	10.2	5.1	B	12.1	14.4	24.6	3.0	4.1	Jim's Team - Trade	11	8.6	1.0	WR	NYG	2012
